"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:42:44,2764510","sample_1_r3.exe","2860","QueryBasicInformationFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","CreationTime: 14/07/2009 1:15:47, LastAccessTime: 14/07/2009 1:15:47, LastWriteTime: 14/07/2009 3:16:14, ChangeTime: 10/12/2020 1:42:14, FileAttributes: A"
"15:42:44,2764880","sample_1_r3.exe","2860","CloseFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS",""
"15:42:44,2767460","sample_1_r3.exe","2860","CreateFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2768129","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\SysWOW64\SortServer2003Compat.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:44,2768483","sample_1_r3.exe","2860","QueryStandardInformationFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","AllocationSize: 40.960, EndOfFile: 38.400, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:42:44,2768881","sample_1_r3.exe","2860","ReadFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:42:44,2776110","sample_1_r3.exe","2860","ReadFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Offset: 36.864, Length: 1.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:42:44,2780123","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:44,2781414","sample_1_r3.exe","2860","Load Image","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Image Base: 0x73a10000, Image Size: 0xd000"
"15:42:44,2781811","sample_1_r3.exe","2860","ReadFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Offset: 1.024, Length: 32.768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Low"
"15:42:44,3367912","sample_1_r3.exe","2860","CloseFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS",""
"15:42:44,3368662","sample_1_r3.exe","2860","ReadFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Offset: 35.328, Length: 1.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Low"
"15:42:44,3374627","sample_1_r3.exe","2860","ReadFile","C:\Windows\SysWOW64\SortServer2003Compat.dll","SUCCESS","Offset: 33.792, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Low"
"15:42:44,3382512","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
